과목코드,분반,과목명,강의시간,강의실,담당교수,선수과목
CSW1010,01,IT개론,"월,금 16:30~17:45",K502,이지선,
CSW2010,01,기초C언어,월 13:30~14:45 / 금 12:00~13:15,K502,이지선,
CSW2010,02,기초C언어,월 10:30~11:45 / 수 12:00~13:15,K502,이지선,
CSW3010,01,알고리즘입문,"화,목 15:00~16:15",K303,장직현,
CSW3020,01,운영체제입문,"화,목 16:30~17:45",K305,전영표,
CSW3040,01,소프트웨어공학입문,"화,목 12:00~13:15",K307,박수진,
ECO2001,01,경제학원론I,월 09:00~10:15 / 수 10:30~11:45,GN301,"Heshmati, Almas",
ECO2001,02,경제학원론I,월 10:30~11:45 / 수 12:00~13:15,GN201,김영철,
ECO2001,03,경제학원론I,월 12:00~13:15 / 금 10:30~11:45,GN202,Iris Haydar Doruk,
ECO2001,04,경제학원론I,월 13:30~14:45 / 금 12:00~13:15,GN202,Iris Haydar Doruk,
ECO2001,05,경제학원론I,"수,금 09:00~10:15",GN201,"Brodersen, Sofie",
ECO2001,06,경제학원론I,"수,금 13:30~14:45",GN201,이수형,
ECO2001,07,경제학원론I,"수,금 15:00~16:15",GN201,이수형,
ECO2001,08,경제학원론I,"화,목 09:00~10:15",GN301,전현배,
ECO2001,09,경제학원론I,"화,목 15:00~16:15",GN201,남성일,
ECO2001,11,경제학원론I,"월,금 16:30~17:45",GN202,조무상,
ECO2002,02,경제학원론II,월 12:00~13:15 / 금 10:30~11:45,GN102,"Kim, Young-il",
ECO2002,03,경제학원론II,월 13:30~14:45 / 금 12:00~13:15,GN201,"Brodersen, Sofie",
ECO2002,04,경제학원론II,"화,목 10:30~11:45",GN201,곽노선,
ECO2002,05,경제학원론II,"화,목 16:30~17:45",GN201,박정수,
ECO2003,01,경제수리기초,"화,목 09:00~10:15",GN102,이강오,
ECO2003,02,경제수리기초,"화,목 13:30~14:45",GN201,이강오,
ECO2003,03,경제수리기초,월 12:00~13:15 / 금 10:30~11:45,GN201,정지은,
ECO2004,01,경제통계학,"화,목 09:00~10:15",GN202,사공용,
ECO2004,02,경제통계학,"화,목 12:00~13:15",GN102,이영훈,
ECO2004,03,경제통계학,"화,목 13:30~14:45",GN202,사공용,
ECO2006,01,미시경제학I,월 09:00~10:15 / 수 10:30~11:45,GN102,Iris Haydar Doruk,"ECO2001,ECO2003"
ECO2006,02,미시경제학I,월 15:00~16:15 / 수 16:30~17:45,GN102,이진권,"ECO2001,ECO2003"
ECO2006,03,미시경제학I,"수,금 13:30~14:45",GN202,주하연,"ECO2001,ECO2003"
ECO2006,04,미시경제학I,"화,목 10:30~11:45",GN203,왕규호,"ECO2001,ECO2003"
ECO2006,05,미시경제학I,"화,목 15:00~16:15",GN301,김도영,"ECO2001,ECO2003"
ECO2007,01,거시경제학I,"수,금 15:00~16:15",GN301,이윤수,"ECO2001,ECO2002,ECO2003"
ECO2007,02,거시경제학I,"화,목 12:00~13:15",GN301,조장옥,"ECO2001,ECO2002,ECO2003"
ECO2007,03,거시경제학I,"화,목 13:30~14:45",GN203,곽노선,"ECO2001,ECO2002,ECO2003"
ECO2008,01,수리경제학,월 15:00~16:15 / 수 16:30~17:45,GN202,김영철,"ECO2001,ECO2002,ECO2003"
ECO2009,01,계량경제학I,"화,목 10:30~11:45",GN301,남준우,ECO2004
ECO2009,02,계량경제학I,"화,목 13:30~14:45",GN301,이한식,ECO2004
ECO2009,03,계량경제학I,"화,목 15:00~16:15",GN202,이영훈,ECO2004
ECO3001,01,산업경제학,"수,금 15:00~16:15",GN202,주하연,ECO2006
ECO3002,01,노동경제학,"화,목 12:00~13:15",GN201,남성일,"ECO2006,ECO2004"
ECO3004,01,도시경제학,월 15:00~16:15 / 수 16:30~17:45,GN301,김경환,ECO2006
ECO3008,01,금융경제학,"수,금 13:30~14:45",GN102,남주하,"ECO2006,ECO2007"
ECO3009,01,공공경제학,월 10:30~11:45 / 수 12:00~13:15,GN202,김경환,"ECO2006,ECO2007"
ECO3011,01,국제금융론,"화,목 13:30~14:45",GN102,정재식,ECO2007
ECO3017,01,국제경제학,월 09:00~10:15 / 수 10:30~11:45,GN202,김윤정,"ECO2001,ECO2002"
ECO3019,01,인구경제학,월 13:30~14:45 / 금 12:00~13:15,GN102,"Kim, Young-il","ECO2006,ECO2009"
ECO3021,01,경제성장론,월 10:30~11:45 / 수 12:00~13:15,GN301,송의영,ECO2003
ECO4001,01,미시경제학II,"화,목 15:00~16:15",GN203,왕규호,ECO2006
ECO4006,01,정보경제학,"화,목 16:30~17:45",GN301,김도영,ECO2006
ECO4009,01,파생상품시장,"화,목 10:30~11:45",GN202,사공용,"ECO2006,ECO2004"
ECO4010,01,국제금융시장,"화,목 12:00~13:15",GN202,박정수,"ECO2001,ECO2002"
ECO4014,01,한국경제론,월 10:30~11:45 / 수 12:00~13:15,GN102,이인실,"ECO2001,ECO2002"
ECO4018,01,경제학특강1,"수,금 09:00~10:15",GN203,심명규,"ECO2001,ECO2002,ECO2007"
ECO4019,01,경제학특강2,"수,금 13:30~14:45",GN203,이윤수,"ECO2001,ECO2002,ECO2007"
ECO4020,01,경제학특강3,"화,목 10:30~11:45",GN102,정재식,"ECO2001,ECO2002,ECO2004"
ECO4021,01,경제학특강4,"화,목 12:00~13:15",GN402,이강오,"ECO2001,ECO2002,ECO2003,ECO2004"
ECO4030,01,행동경제학,"수,금 09:00~10:15",GN102,Iris Haydar Doruk,ECO2006
ECO4033,01,거시경제지표분석(캡스톤디자인),"화,목 15:00~16:15",GN102,김영익,ECO2007
ECO4034,01,금융시장행태주의(behavioral)분석(캡스톤),"화,목 09:00~10:15",GN203,정재식,"ECO2006,ECO2007"
ECOG010,01,고급미시경제학I,"화,목 13:30~14:45",GN304,왕규호,ECO2006
ECOG020,01,고급거시경제학I,"수,금 15:00~16:15",GN304,남주하,"ECO2006,ECO2007"
ECOG030,01,고급계량경제학I,"화,목 10:30~11:45",GN304,이한식,ECO2009
